comandoerr,comando
cjear,clear
zmkdir,mkdir
mkfmile,mkfile
c,cd
hls,ls
wd,pwd
desscargar,descargar
stubir,subir
cambiar nombrxe,cambiar nombre
modificarcontenido,modificar contenido
ext,exit
carrar sesion,cerrar sesion
lear,clear
mknir,mkdir
mkdile,mkfile
d,cd
hs,ls
pwwd,pwd
dscargar,descargar
subi,subir
cambiarnombre,cambiar nombre
modificarc ontenido,modificar contenido
exi,exit
cerrar sesioxn,cerrar sesion
clecar,clear
mxkdir,mkdir
mkfiel,mkfile
d,cd
ll,ls
pdw,pwd
desacrgar,descargar
ubir,subir
cambiaar nombre,cambiar nombre
modificar conltenido,modificar contenido
txit,exit
cerrar seison,cerrar sesion
clearr,clear
mkdbr,mkdir
kfile,mkfile
dc,cd
sl,ls
pw,pwd
desrcargar,descargar
suibr,subir
cambwiar nombre,cambiar nombre
modificar caontenido,modificar contenido
exif,exit
cerrar sesin,cerrar sesion
cleacr,clear
mkdri,mkdir
mkfbile,mkfile
cdp,cd
l,ls
pwt,pwd
dtescargar,descargar
suir,subir
cambiar onmbre,cambiar nombre
modificar contegido,modificar contenido
vxit,exit
cerrar seson,cerrar sesion
claer,clear
mkdfr,mkdir
mkifle,mkfile
dc,cd
sl,ls
pwwd,pwd
descamgar,descargar
submr,subir
cambiair nombre,cambiar nombre
modificar ontenido,modificar contenido
eixt,exit
cerar sesion,cerrar sesion
clea,clear
mkdiro,mkdir
mkfiqe,mkfile
cda,cd
sl,ls
pw,pwd
edscargar,descargar
subiar,subir
cambviar nombre,cambiar nombre
mogificar contenido,modificar contenido
eqit,exit
cerar sesion,cerrar sesion
caear,clear
ckdir,mkdir
mkfiel,mkfile
dc,cd
l,ls
pvwd,pwd
descargr,descargar
surbir,subir
cjmbiar nombre,cambiar nombre
modificar coneenido,modificar contenido
ebxit,exit
errar sesion,cerrar sesion
clevar,clear
mkir,mkdir
mkifle,mkfile
c,cd
s,ls
wd,pwd
dedcargar,descargar
subirr,subir
cambiar nomre,cambiar nombre
modificar contendo,modificar contenido
exi,exit
cerrar sesibon,cerrar sesion
clar,clear
ikdir,mkdir
mkfidle,mkfile
dc,cd
as,ls
powd,pwd
descrgar,descargar
subqir,subir
cambiar ombre,cambiar nombre
modificar conltenido,modificar contenido
exitp,exit
cenrar sesion,cerrar sesion
clexar,clear
mdir,mkdir
jkfile,mkfile
cr,cd
sl,ls
npwd,pwd
descagrar,descargar
subdr,subir
cambiar nombrev,cambiar nombre
modificar conteniod,modificar contenido
rexit,exit
cerrar sesoin,cerrar sesion
clearq,clear
mdkir,mkdir
mkflie,mkfile
c,cd
lls,ls
pw,pwd
mdescargar,descargar
ubir,subir
cambiar nombrev,cambiar nombre
modificalr contenido,modificar contenido
xeit,exit
crerar sesion,cerrar sesion
plear,clear
mkdinr,mkdir
mkfwile,mkfile
cad,cd
sl,ls
pdw,pwd
descrgar,descargar
suibr,subir
cambira nombre,cambiar nombre
moqificar contenido,modificar contenido
xit,exit
cerar sesion,cerrar sesion
clea,clear
mkdr,mkdir
mkifle,mkfile
d,cd
lm,ls
pd,pwd
descargarx,descargar
subwir,subir
cambiar nomrbe,cambiar nombre
modificar cotnenido,modificar contenido
eit,exit
cerrar ksesion,cerrar sesion
cear,clear
mkdzir,mkdir
mkpile,mkfile
ccd,cd
lls,ls
wwd,pwd
hescargar,descargar
sbuir,subir
cqmbiar nombre,cambiar nombre
modificar pontenido,modificar contenido
exlit,exit
cerrar sesoin,cerrar sesion
cloear,clear
mkdi,mkdir
ikfile,mkfile
cde,cd
sl,ls
pwgd,pwd
adescargar,descargar
qubir,subir
cambiar nmobre,cambiar nombre
modificar conetnido,modificar contenido
ext,exit
cerrar sesqion,cerrar sesion
clxar,clear
mkdri,mkdir
mkflile,mkfile
cud,cd
sl,ls
wpd,pwd
desrcargar,descargar
uubir,subir
cambiarn ombre,cambiar nombre
modificarmcontenido,modificar contenido
dxit,exit
cerra sesion,cerrar sesion
ctear,clear
mdkir,mkdir
mkflie,mkfile
dc,cd
sl,ls
pw,pwd
defscargar,descargar
subr,subir
cambiar nombr,cambiar nombre
moificar contenido,modificar contenido
exti,exit
cerrar sesgon,cerrar sesion
cear,clear
kmdir,mkdir
mkfiye,mkfile
cnd,cd
lxs,ls
pd,pwd
edscargar,descargar
sbir,subir
cmabiar nombre,cambiar nombre
modificar contnido,modificar contenido
exin,exit
cerrar sesin,cerrar sesion
claer,clear
mkdri,mkdir
kmfile,mkfile
d,cd
lc,ls
pwf,pwd
desacrgar,descargar
subri,subir
cambiar nombrve,cambiar nombre
modificar conwenido,modificar contenido
exig,exit
cerrar sesiown,cerrar sesion
lcear,clear
mkdri,mkdir
mkfil,mkfile
c,cd
sl,ls
wpd,pwd
descarcgar,descargar
subiq,subir
cambiarn ombre,cambiar nombre
modificar ocntenido,modificar contenido
ebit,exit
cerar sesion,cerrar sesion
caear,clear
mkdig,mkdir
mfile,mkfile
cgd,cd
l,ls
wpd,pwd
descargarr,descargar
ubir,subir
cambcar nombre,cambiar nombre
imodificar contenido,modificar contenido
eixt,exit
cerrar sesoin,cerrar sesion
clera,clear
mkmdir,mkdir
mskfile,mkfile
c,cd
sl,ls
wd,pwd
descarga,descargar
sbir,subir
cambiar nomfbre,cambiar nombre
modificar conytenido,modificar contenido
eixt,exit
cerrar kesion,cerrar sesion
cxear,clear
mkdri,mkdir
mkifle,mkfile
cb,cd
vs,ls
fpwd,pwd
degscargar,descargar
esubir,subir
cambiar nobre,cambiar nombre
modificar conteindo,modificar contenido
exib,exit
cerrar sesino,cerrar sesion
clar,clear
mrdir,mkdir
mkfle,mkfile
ctd,cd
lss,ls
pws,pwd
descaragr,descargar
subi,subir
cambiar neombre,cambiar nombre
modificar contneido,modificar contenido
exkit,exit
cerrar sesoon,cerrar sesion
ctear,clear
kdir,mkdir
mkfie,mkfile
dc,cd
sl,ls
gwd,pwd
descagrar,descargar
subri,subir
cambiar nombru,cambiar nombre
modificar cocntenido,modificar contenido
xeit,exit
cerrarsesion,cerrar sesion
cear,clear
mkidr,mkdir
mkfnile,mkfile
d,cd
kls,ls
wd,pwd
deuscargar,descargar
subr,subir
cambiar ombre,cambiar nombre
odificar contenido,modificar contenido
ext,exit
cerrarm sesion,cerrar sesion
aclear,clear
mkpir,mkdir
mkfie,mkfile
cdl,cd
ils,ls
lpwd,pwd
descargr,descargar
osubir,subir
cambiqar nombre,cambiar nombre
modificar conyenido,modificar contenido
xeit,exit
cerrar seson,cerrar sesion
clealr,clear
mkhdir,mkdir
mkile,mkfile
dc,cd
s,ls
pswd,pwd
dtescargar,descargar
sbir,subir
cambiar nobre,cambiar nombre
modificar cnotenido,modificar contenido
bxit,exit
cerarr sesion,cerrar sesion
cleir,clear
mkdio,mkdir
mkfihe,mkfile
cl,cd
sl,ls
pbd,pwd
descarpar,descargar
subri,subir
cambiar nombr,cambiar nombre
modgificar contenido,modificar contenido
exi,exit
cerarr sesion,cerrar sesion
cleav,clear
mkhir,mkdir
mkfle,mkfile
cdg,cd
sl,ls
dwd,pwd
desceargar,descargar
subirf,subir
cambiar onmbre,cambiar nombre
modieficar contenido,modificar contenido
eixt,exit
cerrlr sesion,cerrar sesion
cler,clear
kmdir,mkdir
mkjile,mkfile
cad,cd
l,ls
jwd,pwd
descvargar,descargar
suibr,subir
cambira nombre,cambiar nombre
modificar contenidoz,modificar contenido
xit,exit
cerrar ession,cerrar sesion
clyar,clear
mksir,mkdir
mkqfile,mkfile
cu,cd
ps,ls
wpd,pwd
desccargar,descargar
sbir,subir
cambiar nomgbre,cambiar nombre
modificar conteenido,modificar contenido
uxit,exit
cerar sesion,cerrar sesion
clea,clear
mdir,mkdir
mkfie,mkfile
cud,cd
l,ls
wpd,pwd
descargatr,descargar
sbir,subir
cambiar nomcbre,cambiar nombre
modifiar contenido,modificar contenido
exlit,exit
cerrar sekion,cerrar sesion
cleasr,clear
mqdir,mkdir
mkfilme,mkfile
c,cd
lo,ls
zwd,pwd
decargar,descargar
subi,subir
carmbiar nombre,cambiar nombre
modificacr contenido,modificar contenido
exil,exit
cerrr sesion,cerrar sesion
clmear,clear
mktir,mkdir
gkfile,mkfile
zd,cd
l,ls
mpwd,pwd
descarga,descargar
ubir,subir
cambia nombre,cambiar nombre
modificar contenizo,modificar contenido
exift,exit
cerrr sesion,cerrar sesion
clea,clear
rmkdir,mkdir
kfile,mkfile
gcd,cd
s,ls
pwf,pwd
descabgar,descargar
sbir,subir
ambiar nombre,cambiar nombre
moduficar contenido,modificar contenido
esxit,exit
crerar sesion,cerrar sesion
clera,clear
mkdair,mkdir
mfile,mkfile
c,cd
sl,ls
cwd,pwd
descargalr,descargar
usbir,subir
camiar nombre,cambiar nombre
modificr contenido,modificar contenido
sxit,exit
cerrarvsesion,cerrar sesion
clar,clear
kdir,mkdir
mkflie,mkfile
cx,cd
ols,ls
pkd,pwd
descarar,descargar
suoir,subir
cabiar nombre,cambiar nombre
modificar contenid,modificar contenido
hexit,exit
cerrwr sesion,cerrar sesion
cleoar,clear
mkir,mkdir
mkfil,mkfile
md,cd
lo,ls
epwd,pwd
descagar,descargar
ubir,subir
cambiar nombreo,cambiar nombre
modificar conteido,modificar contenido
exiht,exit
cerrra sesion,cerrar sesion
ylear,clear
mkdr,mkdir
mxkfile,mkfile
dc,cd
l,ls
pw,pwd
descragar,descargar
xubir,subir
camhiar nombre,cambiar nombre
modivicar contenido,modificar contenido
eqit,exit
cerrar sesio,cerrar sesion
czlear,clear
ekdir,mkdir
mkfiel,mkfile
c,cd
li,ls
pdw,pwd
escargar,descargar
suibr,subir
cambiarv nombre,cambiar nombre
modifincar contenido,modificar contenido
evit,exit
cerrar seson,cerrar sesion
lcear,clear
mkdif,mkdir
mfkile,mkfile
cvd,cd
lsv,ls
pdw,pwd
dsecargar,descargar
pubir,subir
cambiar nombr,cambiar nombre
modificar contenado,modificar contenido
exi,exit
crerar sesion,cerrar sesion
cear,clear
mkdi,mkdir
mkfle,mkfile
dc,cd
lsy,ls
pd,pwd
descatgar,descargar
suir,subir
ecambiar nombre,cambiar nombre
modificar conhenido,modificar contenido
evit,exit
cerrarc sesion,cerrar sesion
clea,clear
mykdir,mkdir
mkfele,mkfile
ed,cd
sl,ls
pw,pwd
pescargar,descargar
subnr,subir
cambiarh nombre,cambiar nombre
modqificar contenido,modificar contenido
exxit,exit
cerrar seesion,cerrar sesion
clearp,clear
mkdira,mkdir
mkfilew,mkfile
c,cd
l,ls
pdw,pwd
descarga,descargar
subirx,subir
iambiar nombre,cambiar nombre
modificar cdntenido,modificar contenido
exti,exit
cerrar esion,cerrar sesion
cleara,clear
mnkdir,mkdir
mkufile,mkfile
md,cd
l,ls
twd,pwd
descargaf,descargar
wsubir,subir
cambiar nombue,cambiar nombre
modificar conteindo,modificar contenido
eit,exit
cerrar sseion,cerrar sesion
cwear,clear
mkdar,mkdir
mkfilek,mkfile
dc,cd
lsg,ls
pewd,pwd
desacrgar,descargar
yubir,subir
cambiar nombge,cambiar nombre
modiicar contenido,modificar contenido
exi,exit
cerrari sesion,cerrar sesion
cleawr,clear
mkidr,mkdir
mkfie,mkfile
cld,cd
lsi,ls
pd,pwd
devcargar,descargar
sbir,subir
cambiqar nombre,cambiar nombre
ymodificar contenido,modificar contenido
exint,exit
cerrar sgsion,cerrar sesion
lcear,clear
mkdi,mkdir
mkifle,mkfile
czd,cd
xls,ls
dwd,pwd
desacrgar,descargar
yubir,subir
cambiar nombrz,cambiar nombre
modificar cotnenido,modificar contenido
exst,exit
cerrar sesio,cerrar sesion
slear,clear
mkir,mkdir
mkifle,mkfile
dc,cd
es,ls
pxwd,pwd
dsecargar,descargar
suuir,subir
cambiar naombre,cambiar nombre
modifincar contenido,modificar contenido
exitf,exit
cerrar sesieon,cerrar sesion
cleuar,clear
mkjdir,mkdir
mmfile,mkfile
cbd,cd
ts,ls
pwm,pwd
dqescargar,descargar
usbir,subir
cambialr nombre,cambiar nombre
modificapr contenido,modificar contenido
exic,exit
bcerrar sesion,cerrar sesion
clxar,clear
mkidr,mkdir
mkfilie,mkfile
cu,cd
lsd,ls
pwdv,pwd
descavgar,descargar
subr,subir
cambiar nobre,cambiar nombre
modificar contenlido,modificar contenido
exti,exit
cerrra sesion,cerrar sesion
clenr,clear
lkdir,mkdir
mkfiole,mkfile
d,cd
ks,ls
pewd,pwd
descarglr,descargar
sbir,subir
cambiar nombr,cambiar nombre
modificar czontenido,modificar contenido
gxit,exit
cerrar sbsion,cerrar sesion
hclear,clear
mkdikr,mkdir
mkfiyle,mkfile
ad,cd
s,ls
wpd,pwd
descarga,descargar
dsubir,subir
cambsar nombre,cambiar nombre
modificar contenidvo,modificar contenido
exti,exit
cerurar sesion,cerrar sesion
lear,clear
mkdirn,mkdir
mkifle,mkfile
d,cd
sl,ls
pwb,pwd
descarga,descargar
subr,subir
cambiar niombre,cambiar nombre
modfiicar contenido,modificar contenido
exti,exit
cerrir sesion,cerrar sesion
clearg,clear
mkdim,mkdir
mkqfile,mkfile
vcd,cd
s,ls
wpd,pwd
dsecargar,descargar
suibr,subir
cabiar nombre,cambiar nombre
modificar conxtenido,modificar contenido
eixt,exit
cerrarwsesion,cerrar sesion
claer,clear
mzkdir,mkdir
mkfuile,mkfile
cmd,cd
sl,ls
wpd,pwd
descragar,descargar
subri,subir
acmbiar nombre,cambiar nombre
aodificar contenido,modificar contenido
eiit,exit
cerra rsesion,cerrar sesion
clar,clear
mkdzr,mkdir
mzfile,mkfile
dc,cd
lsf,ls
pw,pwd
descaruar,descargar
syubir,subir
camiar nombre,cambiar nombre
modlificar contenido,modificar contenido
exqit,exit
cerarr sesion,cerrar sesion
cleari,clear
mkdkr,mkdir
mkkile,mkfile
dc,cd
ln,ls
wpd,pwd
deccargar,descargar
spbir,subir
cambiam nombre,cambiar nombre
modificar conbenido,modificar contenido
eixt,exit
cerrar seison,cerrar sesion
cplear,clear
mkdid,mkdir
mkdfile,mkfile
dc,cd
li,ls
wd,pwd
dwscargar,descargar
iubir,subir
cambia nombre,cambiar nombre
moificar contenido,modificar contenido
exti,exit
cerraor sesion,cerrar sesion
clar,clear
ymkdir,mkdir
mkfle,mkfile
dd,cd
is,ls
wd,pwd
descarlar,descargar
bubir,subir
cambiar nombrek,cambiar nombre
modificar cntenido,modificar contenido
exut,exit
cerarr sesion,cerrar sesion
clemar,clear
mkdi,mkdir
mkflie,mkfile
cu,cd
ss,ls
pwdw,pwd
desargar,descargar
sbir,subir
cmabiar nombre,cambiar nombre
modificar conteindo,modificar contenido
eoxit,exit
cerra sesion,cerrar sesion
clar,clear
mkidr,mkdir
mkfil,mkfile
cl,cd
sl,ls
wpd,pwd
descargra,descargar
subri,subir
camibar nombre,cambiar nombre
modificar contenid,modificar contenido
xeit,exit
lerrar sesion,cerrar sesion
clea,clear
mdir,mkdir
mkfiie,mkfile
c,cd
sl,ls
ewd,pwd
dedcargar,descargar
suboir,subir
cambiaqr nombre,cambiar nombre
modificar contenio,modificar contenido
exti,exit
cerrar sfesion,cerrar sesion
clea,clear
mkdnr,mkdir
mkfiel,mkfile
qd,cd
lm,ls
pdw,pwd
descagrar,descargar
suir,subir
gambiar nombre,cambiar nombre
mwodificar contenido,modificar contenido
eit,exit
cerrar seszion,cerrar sesion
qlear,clear
mdir,mkdir
mkifile,mkfile
ld,cd
lu,ls
wd,pwd
descargr,descargar
suxir,subir
cambiar nomrbe,cambiar nombre
modificare contenido,modificar contenido
exti,exit
cerram sesion,cerrar sesion
cleavr,clear
mkdmr,mkdir
mqkfile,mkfile
dc,cd
sl,ls
pdw,pwd
dyescargar,descargar
sbuir,subir
cafmbiar nombre,cambiar nombre
modificarc ontenido,modificar contenido
xeit,exit
cerrar seion,cerrar sesion
clar,clear
mdir,mkdir
mkifle,mkfile
ed,cd
ms,ls
fpwd,pwd
dhescargar,descargar
usbir,subir
cambizr nombre,cambiar nombre
modificar contenjdo,modificar contenido
eit,exit
cerrag sesion,cerrar sesion
clevr,clear
mkir,mkdir
mkfisle,mkfile
c,cd
lhs,ls
ppd,pwd
edscargar,descargar
suir,subir
camkiar nombre,cambiar nombre
modificar rontenido,modificar contenido
exti,exit
cerrzr sesion,cerrar sesion
cleazr,clear
mkdri,mkdir
mkile,mkfile
c,cd
gs,ls
pw,pwd
yescargar,descargar
subirs,subir
cambiarnombre,cambiar nombre
modiifcar contenido,modificar contenido
exia,exit
icerrar sesion,cerrar sesion
clera,clear
kmdir,mkdir
mkmile,mkfile
dc,cd
lzs,ls
dpwd,pwd
descargra,descargar
ubir,subir
cambiac nombre,cambiar nombre
modificarw contenido,modificar contenido
exht,exit
cerrar seison,cerrar sesion
cloar,clear
mkiir,mkdir
mfile,mkfile
bcd,cd
us,ls
wwd,pwd
descajrgar,descargar
subi,subir
cambiar nobre,cambiar nombre
modificar cnotenido,modificar contenido
ext,exit
cerrar seion,cerrar sesion
clea,clear
mkidr,mkdir
mkfle,mkfile
dc,cd
lg,ls
pdw,pwd
dscargar,descargar
wsubir,subir
cambair nombre,cambiar nombre
modificar conzenido,modificar contenido
extt,exit
cerryr sesion,cerrar sesion
cear,clear
mkyir,mkdir
kmfile,mkfile
zd,cd
sl,ls
pwhd,pwd
descargatr,descargar
nsubir,subir
camiar nombre,cambiar nombre
modifwcar contenido,modificar contenido
eixt,exit
cerrar sewsion,cerrar sesion
cleaa,clear
mkdr,mkdir
kmkfile,mkfile
dc,cd
lps,ls
zpwd,pwd
despargar,descargar
subirt,subir
cambiak nombre,cambiar nombre
modificar convtenido,modificar contenido
exvt,exit
cwrrar sesion,cerrar sesion
cletar,clear
bmkdir,mkdir
zkfile,mkfile
c,cd
sl,ls
pdw,pwd
escargar,descargar
ubir,subir
cambiar nobre,cambiar nombre
moxdificar contenido,modificar contenido
exrt,exit
cerrar sesgon,cerrar sesion
cluear,clear
amkdir,mkdir
mkfiee,mkfile
dc,cd
s,ls
pwda,pwd
descarkgar,descargar
subr,subir
camibar nombre,cambiar nombre
modificar conteenido,modificar contenido
xxit,exit
cerrar sesidn,cerrar sesion
clera,clear
kdir,mkdir
mkfipe,mkfile
bcd,cd
l,ls
wpd,pwd
descarghr,descargar
subri,subir
ambiar nombre,cambiar nombre
moidficar contenido,modificar contenido
evit,exit
cerrars esion,cerrar sesion
clar,clear
mkdis,mkdir
msfile,mkfile
ycd,cd
dls,ls
pdw,pwd
descafgar,descargar
suir,subir
cambira nombre,cambiar nombre
modificar pcontenido,modificar contenido
exipt,exit
cerrar sesio,cerrar sesion
clar,clear
mdir,mkdir
mkfill,mkfile
d,cd
lvs,ls
wd,pwd
descavgar,descargar
sudbir,subir
cambir nombre,cambiar nombre
modificra contenido,modificar contenido
exbit,exit
cerrar seison,cerrar sesion
crear,clear
mkdi,mkdir
mkfilek,mkfile
d,cd
l,ls
pwpd,pwd
odescargar,descargar
subgr,subir
cambiar nomber,cambiar nombre
modificar cbontenido,modificar contenido
exite,exit
cerrar sesionu,cerrar sesion
cluear,clear
mkidr,mkdir
mfile,mkfile
yd,cd
es,ls
wpd,pwd
dscargar,descargar
suibr,subir
cambiam nombre,cambiar nombre
modificra contenido,modificar contenido
eixt,exit
cerrarbsesion,cerrar sesion
cleaz,clear
mkdri,mkdir
kmfile,mkfile
cdt,cd
lsu,ls
pdw,pwd
descqrgar,descargar
sbir,subir
ocambiar nombre,cambiar nombre
modificar conenido,modificar contenido
eit,exit
werrar sesion,cerrar sesion
claer,clear
kmdir,mkdir
mkfixe,mkfile
c,cd
lb,ls
awd,pwd
deskargar,descargar
suibr,subir
cvambiar nombre,cambiar nombre
modiiicar contenido,modificar contenido
exitn,exit
cerraor sesion,cerrar sesion
colear,clear
kmdir,mkdir
mkile,mkfile
nd,cd
sl,ls
wd,pwd
descagrar,descargar
subiir,subir
cambiarnombre,cambiar nombre
modikicar contenido,modificar contenido
bexit,exit
cerrar esion,cerrar sesion
celar,clear
mkdr,mkdir
mktfile,mkfile
d,cd
l,ls
pwpd,pwd
descargcr,descargar
subii,subir
cambiar nombrie,cambiar nombre
modiicar contenido,modificar contenido
exi,exit
cerrra sesion,cerrar sesion
claear,clear
mkidr,mkdir
fkfile,mkfile
td,cd
lbs,ls
wpd,pwd
debscargar,descargar
subird,subir
cbmbiar nombre,cambiar nombre
modificar contenidco,modificar contenido
xeit,exit
cwrrar sesion,cerrar sesion
clpar,clear
wkdir,mkdir
mfkile,mkfile
dc,cd
sl,ls
pdw,pwd
dsscargar,descargar
sbir,subir
camabiar nombre,cambiar nombre
modfiicar contenido,modificar contenido
exiht,exit
cerrra sesion,cerrar sesion
clbar,clear
mkdr,mkdir
mkjfile,mkfile
d,cd
sl,ls
swd,pwd
dsecargar,descargar
suqbir,subir
cambiar nomrbe,cambiar nombre
modificarbcontenido,modificar contenido
xeit,exit
cerrar sseion,cerrar sesion
jlear,clear
mdkir,mkdir
mkfnle,mkfile
ecd,cd
sl,ls
wpd,pwd
descargvr,descargar
subpr,subir
cambiar nobre,cambiar nombre
modifiar contenido,modificar contenido
exift,exit
cerrarosesion,cerrar sesion
cler,clear
mdir,mkdir
mkfiel,mkfile
dc,cd
l,ls
pzwd,pwd
descarar,descargar
szubir,subir
cambiarnombre,cambiar nombre
mdoificar contenido,modificar contenido
ext,exit
ceraar sesion,cerrar sesion
clebr,clear
mkdiru,mkdir
mkofile,mkfile
id,cd
lo,ls
pwdu,pwd
descargnar,descargar
subiv,subir
cambiarmnombre,cambiar nombre
mdificar contenido,modificar contenido
eixt,exit
errar sesion,cerrar sesion
clearv,clear
mkidr,mkdir
mkile,mkfile
dc,cd
cls,ls
prwd,pwd
descarghr,descargar
subri,subir
camibar nombre,cambiar nombre
mkodificar contenido,modificar contenido
rexit,exit
cercar sesion,cerrar sesion
clearv,clear
mkidr,mkdir
mufile,mkfile
cdk,cd
lws,ls
pd,pwd
descarkar,descargar
subi,subir
cambiar nobmre,cambiar nombre
modificarc ontenido,modificar contenido
exnit,exit
cerrar sesoin,cerrar sesion
cleacr,clear
mkdyir,mkdir
mkfvile,mkfile
hd,cd
lr,ls
pwc,pwd
descawgar,descargar
suiir,subir
cambia rnombre,cambiar nombre
moidficar contenido,modificar contenido
exxit,exit
cerrar sesyion,cerrar sesion
cllear,clear
mkdr,mkdir
mkifle,mkfile
dd,cd
lsk,ls
pyd,pwd
depcargar,descargar
usbir,subir
cambiar nombe,cambiar nombre
modiicar contenido,modificar contenido
exi,exit
crrar sesion,cerrar sesion
clera,clear
mkdr,mkdir
kmfile,mkfile
dc,cd
als,ls
jwd,pwd
descargwar,descargar
suwbir,subir
cabmiar nombre,cambiar nombre
modificarc ontenido,modificar contenido
exti,exit
celrrar sesion,cerrar sesion
clpar,clear
mklir,mkdir
mkwile,mkfile
cq,cd
sl,ls
pd,pwd
descragar,descargar
msubir,subir
cambiar nmbre,cambiar nombre
modificarocontenido,modificar contenido
eixt,exit
cerrar sesiojn,cerrar sesion
cuear,clear
mkdisr,mkdir
mkqile,mkfile
d,cd
lsz,ls
xpwd,pwd
cdescargar,descargar
subirv,subir
cambiarn ombre,cambiar nombre
modificar contelnido,modificar contenido
exizt,exit
cerrar ession,cerrar sesion
rclear,clear
mkdiu,mkdir
mkfileb,mkfile
czd,cd
lsx,ls
wpd,pwd
dsecargar,descargar
submir,subir
cambiar nomre,cambiar nombre
modifcar contenido,modificar contenido
exi,exit
cerrnar sesion,cerrar sesion
clar,clear
hkdir,mkdir
kmfile,mkfile
chd,cd
ps,ls
pwdw,pwd
descarhgar,descargar
subur,subir
cambiar gnombre,cambiar nombre
modificar cntenido,modificar contenido
lexit,exit
cerrars esion,cerrar sesion
clera,clear
mkgir,mkdir
mukfile,mkfile
cdf,cd
els,ls
pcwd,pwd
descrgar,descargar
suoir,subir
cambial nombre,cambiar nombre
modifiacr contenido,modificar contenido
eixt,exit
xerrar sesion,cerrar sesion
clea,clear
mlkdir,mkdir
mfkile,mkfile
lcd,cd
ds,ls
pwwd,pwd
descargra,descargar
suibr,subir
cambiar nomre,cambiar nombre
modificar cotenido,modificar contenido
exti,exit
cerrar setion,cerrar sesion
cear,clear
mkdr,mkdir
mkifle,mkfile
d,cd
ln,ls
pwvd,pwd
descvargar,descargar
subiqr,subir
camibar nombre,cambiar nombre
modkficar contenido,modificar contenido
exiwt,exit
cerrars esion,cerrar sesion
cleoar,clear
mkdgr,mkdir
mkifle,mkfile
cdx,cd
sl,ls
qwd,pwd
decsargar,descargar
subib,subir
cambiar nmobre,cambiar nombre
modificar cyntenido,modificar contenido
ehxit,exit
cerrar sesio,cerrar sesion
cqear,clear
kdir,mkdir
kmfile,mkfile
c,cd
dls,ls
pkd,pwd
descarpgar,descargar
osubir,subir
cambiar nobre,cambiar nombre
modificar conteniod,modificar contenido
eit,exit
cerrfar sesion,cerrar sesion
clera,clear
mktdir,mkdir
kfile,mkfile
c,cd
l,ls
pdw,pwd
descoargar,descargar
usbir,subir
cambiar nomblre,cambiar nombre
modiicar contenido,modificar contenido
exhit,exit
jcerrar sesion,cerrar sesion
lear,clear
fkdir,mkdir
mkfilj,mkfile
dc,cd
l,ls
pwad,pwd
desmargar,descargar
ssubir,subir
camiar nombre,cambiar nombre
modificar ocntenido,modificar contenido
exitg,exit
cesrrar sesion,cerrar sesion
clxear,clear
mkdr,mkdir
mgfile,mkfile
dc,cd
js,ls
phwd,pwd
descargaar,descargar
subie,subir
camrbiar nombre,cambiar nombre
modxificar contenido,modificar contenido
xeit,exit
cerrarsesion,cerrar sesion
tlear,clear
mkdirt,mkdir
mvfile,mkfile
dc,cd
l,ls
pdw,pwd
escargar,descargar
nsubir,subir
camniar nombre,cambiar nombre
modificar gontenido,modificar contenido
eixt,exit
cerrar sseion,cerrar sesion
clefr,clear
mkdri,mkdir
mkfie,mkfile
dc,cd
lxs,ls
pbd,pwd
descarar,descargar
subri,subir
cambiar nobmre,cambiar nombre
modifdicar contenido,modificar contenido
ext,exit
cewrar sesion,cerrar sesion
clearm,clear
smkdir,mkdir
kmfile,mkfile
dc,cd
jls,ls
iwd,pwd
descarar,descargar
subpir,subir
cambiar npmbre,cambiar nombre
modificar contennido,modificar contenido
exti,exit
cerra sesion,cerrar sesion
cleaf,clear
mkidr,mkdir
mkfwile,mkfile
bd,cd
l,ls
pwx,pwd
debscargar,descargar
usbir,subir
cambiar nomrbe,cambiar nombre
modiicar contenido,modificar contenido
eixt,exit
mcerrar sesion,cerrar sesion
cear,clear
mkdrr,mkdir
mkfil,mkfile
c,cd
la,ls
pwad,pwd
descragar,descargar
subr,subir
cambiar nomrbe,cambiar nombre
modificar coqntenido,modificar contenido
xeit,exit
cerrars esion,cerrar sesion
cear,clear
mkvdir,mkdir
mkfie,mkfile
cz,cd
lls,ls
apwd,pwd
deycargar,descargar
scbir,subir
cambira nombre,cambiar nombre
modificar conetnido,modificar contenido
eixt,exit
cerrar bsesion,cerrar sesion
lear,clear
rkdir,mkdir
mkfilf,mkfile
cod,cd
lsu,ls
ipwd,pwd
dscargar,descargar
subr,subir
cambkar nombre,cambiar nombre
modizficar contenido,modificar contenido
xit,exit
cerrar sesoin,cerrar sesion
cxear,clear
mkidr,mkdir
ukfile,mkfile
cpd,cd
als,ls
pw,pwd
descargarr,descargar
ubir,subir
cambiar nombsre,cambiar nombre
modifcar contenido,modificar contenido
extit,exit
cerrarcsesion,cerrar sesion
cler,clear
mkdr,mkdir
mktile,mkfile
c,cd
sl,ls
phwd,pwd
decargar,descargar
subirm,subir
cambiar nombr,cambiar nombre
modificar contenino,modificar contenido
exiu,exit
crrar sesion,cerrar sesion
cear,clear
mkdi,mkdir
mkflie,mkfile
d,cd
ts,ls
pw,pwd
descagrar,descargar
subr,subir
cambair nombre,cambiar nombre
modificar ocntenido,modificar contenido
zxit,exit
